146	178	2665	1	0
265	156	1183	1	0
467	224	1176	1	0
467	229	6495	1	0
711	134	7038	1	0
733	155	3341	1	0
733	207	920	1	0
786	160	5450	1	0
829	160	3155	1	0
920	127	4319	1	0
920	207	733	1	0
924	156	5965	1	0
924	156	6411	1	0
1077	98	6410	1	0
1077	159	3262	1	0
1121	156	890	1	0
1146	224	5450	1	0
1163	191	5037	1	0
1183	159	1077	1	0
1273	156	6165	1	0
1434	91	1145	1	0
1443	38	1154	1	0
2160	160	3313	1	0
2274	157	3262	1	0
2300	160	2290	1	0
2300	169	2658	1	0
2300	169	5613	1	0
2525	56	3724	1	0
2624	53	5736	1	0
2665	105	5323	1	0
2665	175	146	1	0
2695	169	6823	1	0
2705	160	4208	1	0
2775	156	1169	1	0
3155	38	7053	1	0
3162	127	3155	1	0
3186	0	1272	1	0
3232	127	3155	1	0
3262	142	7075	1	0
3450	177	3724	1	0
3535	18	6410	1	0
3535	65	6410	1	0
3535	155	5037	1	0
3535	191	5037	1	0
3629	127	3155	1	0
3724	87	2525	1	0
3758	2	3159	1	0
3800	185	1121	1	0
3825	160	1077	1	0
3987	157	3155	1	0
4069	56	3885	1	0
4262	229	5450	1	0
4383	163	1375	1	0
4393	38	3912	1	0
4412	53	6795	1	0
4417	229	1183	1	0
4609	56	3450	1	0
4628	123	1145	1	0
4702	134	5736	1	0
4716	156	1176	1	0
5037	169	4404	1	0
5046	156	5244	1	0
5046	160	4534	1	0
5202	38	1122	1	0
5423	38	1121	1	0
5423	150	1121	1	0
5423	173	1121	1	0
5423	229	1464	1	0
5441	105	448	1	0
5450	229	4262	1	0
5496	160	5682	1	0
5661	86	5441	1	0
5678	63	1176	1	0
5678	166	6635	1	0
5678	185	1176	1	0
5736	53	2624	1	0
5788	38	1122	1	0
5884	127	2083	1	0
5965	127	2083	1	0
6407	38	4286	1	0
6410	98	1077	1	0
6410	123	1077	1	0
6422	38	5370	1	0
6422	61	5370	1	0
6665	0	1971	1	0
6785	56	2457	1	0
6794	156	1148	1	0
6795	53	4412	1	0
6823	38	6711	1	0
7075	155	3262	1	0
7075	160	4020	1	0
5	222	3931	2	0
38	160	680	2	0
45	56	545	2	0
49	56	2457	2	0
174	160	3159	2	0
244	222	5319	2	0
293	156	2753	2	0
545	156	5584	2	0
680	127	38	2	0
711	53	6344	2	0
733	53	920	2	0
733	53	3341	2	0
733	103	3341	2	0
733	155	3341	2	0
745	160	1971	2	0
873	160	4407	2	0
920	127	733	2	0
920	127	4319	2	0
920	142	6344	2	0
921	157	1188	2	0
925	98	1077	2	0
1013	6	6047	2	0
1013	56	6047	2	0
1013	160	2442	2	0
1077	98	925	2	0
1077	103	2290	2	0
1077	123	925	2	0
1077	142	4313	2	0
1077	156	5196	2	0
1077	169	5037	2	0
1109	53	6861	2	0
1122	115	680	2	0
1145	56	226	2	0
1145	156	5094	2	0
1161	56	2442	2	0
1161	156	4114	2	0
1176	49	6635	2	0
1176	145	6635	2	0
1181	6	5037	2	0
1189	156	4313	2	0
1276	208	2442	2	0
1384	169	1161	2	0
1434	91	1145	2	0
1446	38	1161	2	0
1477	224	7006	2	0
1496	0	4274	2	0
1736	56	479	2	0
1736	177	5327	2	0
1918	38	1477	2	0
2083	142	5965	2	0
2084	156	146	2	0
2104	160	779	2	0
2234	103	2083	2	0
2290	103	1077	2	0
2442	123	5012	2	0
2442	159	1161	2	0
2442	160	2814	2	0
2620	160	1587	2	0
2666	169	5807	2	0
2668	169	5540	2	0
2671	127	3209	2	0
2671	169	5441	2	0
2695	169	6823	2	0
2701	169	3873	2	0
2790	160	4024	2	0
